PRCSCITYPOINT_BSSHNM,INDUTY_CD_NM,LCNS_NO,DSPS_DCSNDT,DSPS_BGNDT,DSPS_ENDDT,DSPS_TYPECD_NM,VILTCN,ADDR,TELNO,PRSDNT_NM,DSPSCN,LAWORD_CD_NM,PUBLIC_DT,LAST_UPDT_DTM,DSPS_INSTTCD_NM,DSPSDTLS_SEQ,sido,sigungu,disposition_decision_date
오덕후 본점,일반음식점,20170560324,20240919,20240919,-,영업소폐쇄,(20240828)영업시설 전부 철거,경상북도 경산시,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-09-18 00:00:00.0,2024-09-20 12:41:36.1,경상북도 경산시,4626469,경상북도,경상북도 경산시,2024-09-19
미스터빠삭,일반음식점,20080181278,20240919,20240919,-,영업소폐쇄,(20240827)영업소 시설물 전부 철거,대구광역시 달서구,,,영업소폐쇄,식품위생법 제37조(영업허가 등),2026-09-18 00:00:00.0,2024-09-25 11:43:14.869,대구광역시 달서구,4629928,대구광역시,대구광역시 달서구,2024-09-19
순,휴게음식점,20090025470,20240919,20240919,-,영업소폐쇄,(20240722)영업시설의 전부를 철거,서울특별시 종로구,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-09-18 00:00:00.0,2024-09-21 13:42:12.138,서울특별시 종로구,4629311,서울특별시,서울특별시 종로구,2024-09-19
수정식당,일반음식점,20210426579,20240920,20241011,-,영업소폐쇄,(20240702)6개월이상 장기휴업,충청북도 청주시 상당구,,,영업소폐쇄,식품위생법 제75조(허가취소 등) 3항,2026-09-19 00:00:00.0,2024-09-21 13:42:12.138,충청북도 청주시 상당구,4623852,충청북도,충청북도 청주시,2024-09-20
(주)지피플,유통전문판매업,20180341294,20240920,20240920,-,영업소폐쇄,(20240712)영업시설의 전부 철거,경기도 파주시,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-09-19 00:00:00.0,2024-09-20 23:41:18.313,경기도 파주시,4626971,경기도,경기도 파주시,2024-09-20
(주)남도가,유통전문판매업,20210372596,20240920,20240920,-,영업소폐쇄,(20240709)영업시설의 전부 철거,경기도 파주시,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-09-19 00:00:00.0,2024-09-20 19:41:27.628,경기도 파주시,4626949,경기도,경기도 파주시,2024-09-20
보양미역국 청주용암점,일반음식점,20220581303,20240920,20241011,-,영업소폐쇄,(20240710)시설물 멸실,충청북도 청주시 상당구,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-09-19 00:00:00.0,2024-09-21 12:42:09.567,충청북도 청주시 상당구,4623643,충청북도,충청북도 청주시,2024-09-20
느루,즉석판매제조가공업,20210372447,20240920,20240920,-,영업소폐쇄,(20240710)영업시설의 전부 철거,경기도 파주시,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-09-19 00:00:00.0,2024-09-20 23:41:18.313,경기도 파주시,4626985,경기도,경기도 파주시,2024-09-20
(주)일곱색깔,유통전문판매업,20220493245,20240920,20240920,-,영업소폐쇄,(20240709)영업시설 전부 철거,경기도 파주시,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-09-19 00:00:00.0,2024-09-20 23:41:18.313,경기도 파주시,4626946,경기도,경기도 파주시,2024-09-20
조이스(Joe's) PC방,휴게음식점,20200331271,20240920,20240920,-,영업소폐쇄,(20240729)영업시설 전부를 철거한 경우,경기도 안산시 단원구,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-09-19 00:00:00.0,2024-09-30 18:41:56.895,경기도 안산시 단원구,4630847,경기도,경기도 안산시,2024-09-20
피플스에프엔씨,유통전문판매업,20210211591,20240920,20240920,-,영업소폐쇄,(20240709)영업시설의 전부 철거,경기도 파주시,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-09-19 00:00:00.0,2026-07-01 00:55:46.815,경기도 파주시,4626950,경기도,경기도 파주시,2024-09-20
연가네닭갈비,즉석판매제조가공업,20220581288,20240920,20241011,-,영업소폐쇄,(20240703)시설물 멸실,충청북도 청주시 상당구,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-09-19 00:00:00.0,2024-09-21 13:42:12.138,충청북도 청주시 상당구,4623595,충청북도,충청북도 청주시,2024-09-20
훈이편의점,휴게음식점,20170417214,20240920,20241011,-,영업소폐쇄,(20240710)6개월이상 장기휴업,충청북도 청주시 상당구,,,영업소폐쇄,식품위생법 제75조(허가취소 등) 3항,2026-09-19 00:00:00.0,2024-09-21 13:42:12.138,충청북도 청주시 상당구,4623610,충청북도,충청북도 청주시,2024-09-20
평민닭발상당구점,일반음식점,20220581573,20240920,20241011,-,영업소폐쇄,(20240703)시설물 멸실,충청북도 청주시 상당구,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-09-19 00:00:00.0,2024-09-21 13:42:12.138,충청북도 청주시 상당구,4623628,충청북도,충청북도 청주시,2024-09-20
한국유통마트,축산물판매업-식육판매업,20170316385,20240923,-,-,영업소폐쇄,(20240805)타. 법 제24조제2항을 위반하여 신고를 하지 않은 경우,경기도 안산시 단원구,,,영업소폐쇄,축산물 위생관리법,2026-09-22 00:00:00.0,2024-09-23 11:52:21.0,경기도 안산시,4629541,경기도,경기도 안산시,2024-09-23
황금푸드,일반음식점,20150363002,20240923,20240923,-,영업소폐쇄,(20240729)영업시설의 전부를 철거,경기도 김포시,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-09-22 00:00:00.0,2024-10-08 22:41:55.34,경기도 김포시,4631925,경기도,경기도 김포시,2024-09-23
초이마트(선부점),축산물판매업-식육판매업,20070316880,20240923,-,-,영업소폐쇄,(20240805)타. 법 제24조제2항을 위반하여 신고를 하지 않은 경우,경기도 안산시 단원구,,,영업소폐쇄,축산물 위생관리법,2026-09-22 00:00:00.0,2024-09-23 11:51:59.0,경기도 안산시,4629540,경기도,경기도 안산시,2024-09-23
(주)삼정유통,축산물판매업-식육판매업,20210246182,20240924,-,-,영업허가·등록취소,(20240816)축산물 위생관리법,대전광역시 대덕구,,,영업허가취소(축산물위생관리법),축산물 위생관리법,2026-09-23 00:00:00.0,2024-09-25 09:50:24.0,대전광역시 대덕구,4630122,대전광역시,대전광역시 대덕구,2024-09-24
한양마트(오동점),기타식품판매업,20130595082,20240924,20240924,-,영업소폐쇄,(20240822)영업시설의 전부 철거 멸실,경상남도 창원시 마산합포구,,,영업소폐쇄,식품위생법 제36조(시설기준),2026-09-23 00:00:00.0,2024-10-06 19:41:14.5,경상남도 창원시 마산합포구,4631666,경상남도,경상남도 창원시,2024-09-24
(주)스마트셰프,축산물판매업-축산물유통전문판매업,20200246213,20240924,-,-,영업허가·등록취소,(20240816)축산물 위생관리법 제27조제1항,대전광역시 대덕구,,,영업허가취소(축산물위생관리법),축산물 위생관리법 제24조(영업의 신고) 1항,2026-09-23 00:00:00.0,2024-09-25 09:34:33.0,대전광역시 대덕구,4630124,대전광역시,대전광역시 대덕구,2024-09-24
동해축산,식육즉석판매가공업,20200419011,20240924,-,-,영업허가·등록취소,(20200901)축산물 위생관리법,강원특별자치도 양구군,,,영업허가취소(축산물위생관리법),축산물 위생관리법 제24조(영업의 신고) 2항,2026-09-23 00:00:00.0,2024-09-25 15:39:13.0,강원특별자치도 양구군,4630250,강원특별자치도,강원특별자치도 양구군,2024-09-24
에이스,단란주점,19940046006,20240924,20240924,-,영업허가·등록취소,(20240829)영업시설물 전부 멸실,서울특별시 중랑구,,,영업허가ㆍ등록취소,식품위생법 제75조(허가취소 등) 3항,2026-09-23 00:00:00.0,2024-09-25 11:43:14.869,서울특별시 중랑구,4626754,서울특별시,서울특별시 중랑구,2024-09-24
뮤직타운,단란주점,19970046482,20240924,20240924,-,영업허가·등록취소,(20240829)영업시설물 전부 멸실,서울특별시 중랑구,,,영업허가ㆍ등록취소,식품위생법 제75조(허가취소 등) 3항,2026-09-23 00:00:00.0,2024-09-25 11:43:14.869,서울특별시 중랑구,4626751,서울특별시,서울특별시 중랑구,2024-09-24
진성왕후,단란주점,19970046582,20240924,20240924,-,영업허가·등록취소,(20240829)영업시설물 전부 멸실,서울특별시 중랑구,,,영업허가ㆍ등록취소,식품위생법 제75조(허가취소 등) 3항,2026-09-23 00:00:00.0,2024-09-25 11:43:14.869,서울특별시 중랑구,4626752,서울특별시,서울특별시 중랑구,2024-09-24
베스트컴(Best com),일반음식점,20020150290,20240924,20241024,-,영업소폐쇄,(20240813)영업소 시설의 전부철거(시설물 멸실),부산광역시 연제구,,,영업소폐쇄(2024. 9. 24.자),식품위생법 제36조(시설기준),2026-09-23 00:00:00.0,2024-10-19 20:41:35.347,부산광역시 연제구,4633801,부산광역시,부산광역시 연제구,2024-09-24
