LCNS_NO,INDUTY_CD_NM,BSSH_NM,PRSDNT_NM,SITE_ADDR,HACCP_APPN_DT,HACCP_APPN_NO,PRDLST_NM,CLSBIZ_DVS_CD_NM,CLSBIZ_DT,ASGN_CANCL_DT,CRTFC_ENDDT,CRTFC_RETN_DT,sido,sigungu,haccp_designation_date
20040415018,식품제조가공업,대호식품,,충청북도 청주시 서원구,20260914,2020-6-0618,떡류,정상,,20290913,20290913,,충청북도,충청북도 청주시,2026-09-14
19910607016,식품제조가공업,(주)은하푸드웰,,경상남도 김해시,20260914,2024-2-0005,기타 수산물가공품,정상,,20290913,20290913,,경상남도,경상남도 김해시,2026-09-14
19910607016,식품제조가공업,(주)은하푸드웰,,경상남도 김해시,20260914,2024-2-0004,과ㆍ채가공품,정상,,20290913,20290913,,경상남도,경상남도 김해시,2026-09-14
19910607016,식품제조가공업,(주)은하푸드웰,,경상남도 김해시,20260914,2023-2-0355,기타가공품,정상,,20290913,20290913,,경상남도,경상남도 김해시,2026-09-14
20010360017,식품제조가공업,대신농산(주)2공장,,경기도 안성시,20260914,2014-3-8319,캔디류,정상,,20290913,20290913,,경기도,경기도 안성시,2026-09-14
19970569108,식품제조가공업,유동산업 주식회사,,경상북도 성주군,20260914,2017-4-9105,발효식초,정상,,20290913,20290913,,경상북도,경상북도 성주군,2026-09-14
20010360017,식품제조가공업,대신농산(주)2공장,,경기도 안성시,20260914,2017-3-9443,과ㆍ채가공품,정상,,20290913,20290913,,경기도,경기도 안성시,2026-09-14
20230162222,식품제조가공업,이재모피자 광복공장,,부산광역시 중구,20260914,2023-2-0354,빵류,정상,,20290913,20290913,,부산광역시,부산광역시 중구,2026-09-14
19910607016,식품제조가공업,(주)은하푸드웰,,경상남도 김해시,20260914,2017-2-9174,복합조미식품,정상,,20290913,20290913,,경상남도,경상남도 김해시,2026-09-14
20200401849,식품제조가공업,넛쯔공방,,강원특별자치도 원주시,20260914,2020-1-0756,과자,정상,,20290913,20290913,,강원특별자치도,강원특별자치도 원주시,2026-09-14
20010360017,식품제조가공업,대신농산(주)2공장,,경기도 안성시,20260914,2020-3-0899,기타 농산가공품,정상,,20290913,20290913,,경기도,경기도 안성시,2026-09-14
19910607016,식품제조가공업,(주)은하푸드웰,,경상남도 김해시,20260914,2017-2-9173,소스,정상,,20290913,20290913,,경상남도,경상남도 김해시,2026-09-14
20010435332,식품제조가공업,다모아베이커리,,충청북도 제천시,20260914,2020-6-0621,빵류,정상,,20290913,20290913,,충청북도,충청북도 제천시,2026-09-14
20010360017,식품제조가공업,대신농산(주)2공장,,경기도 안성시,20260914,2014-3-8318,과자,정상,,20290913,20290913,,경기도,경기도 안성시,2026-09-14
20010360017,식품제조가공업,대신농산(주)2공장,,경기도 안성시,20260914,2017-3-9445,땅콩 또는 견과류가공품,정상,,20290913,20290913,,경기도,경기도 안성시,2026-09-14
20230269010,식품제조가공업,주식회사 마띠아,,인천광역시 남동구,20260914,2023-3-0728,빵류,정상,,20290913,20290913,,인천광역시,인천광역시 남동구,2026-09-14
20010360017,식품제조가공업,대신농산(주)2공장,,경기도 안성시,20260914,2017-3-9442,곡류가공품,정상,,20290913,20290913,,경기도,경기도 안성시,2026-09-14
20090527029,식품제조가공업,영광전통모시송편,,전남광주통합특별시 영광군,20260914,2020-5-0565,떡류,정상,,20290913,20290913,,전남광주통합특별시,전남광주통합특별시 영광군,2026-09-14
20010360017,식품제조가공업,대신농산(주)2공장,,경기도 안성시,20260914,2017-3-9444,땅콩버터,정상,,20290913,20290913,,경기도,경기도 안성시,2026-09-14
