RTRVLDSUSE_SEQ,inspection_record_date,inspection_items,inspection_item_count,inspection_product,inspection_product_type,inspection_company,inspection_licence,inspection_institution,inspection_sido,recall_product,recall_reason,recall_company,ADDR,TELNO,BRCDNO,FRMLCUNIT,MNFDT,recall_method,DISTBTMLMT,recall_product_type,image_path,PRDLST_CD,CRET_DTM,PRDLST_REPORT_NO,recall_grade,recall_item_type,recall_licence,recall_sido,sigungu,recall_record_date
3000223477,2026-03-23,금속성이물,1,새싹귀리분말,기타가공품,(주)웰빙,20180545230,인천광역시 보건환경연구원 식약연구부 식품분석과,경상북도,새싹귀리분말,금속성 이물 기준 규격 부적합,(주)웰빙,경상북도 김천시,,,500g,데이터없음,쿠팡 물류센터 보유재고 반출 및 소비자 직접 연락,2027-10-19,가공식품,http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2510123,C0323020000000,2026-03-24 18:14:48.224905,2010051202346,3등급,기타가공품,20180545230,경상북도,경상북도 김천시,2026-03-24
3000223704,2026-03-25,비타민D,1,파워 오메가3 포르테 1310,건강기능식품,제이에스헬스케어(jshealthcare),20190012295,대구청 유해물질분석과,대구광역시,파워 오메가3 포르테 1310,비타민D 함량 부족,제이에스헬스케어(jshealthcare),대구광역시 북구,,8500134845680,"1,310mg X 180캡슐(총 235.8g)",데이터없음,"방문, 전화, 택배 등",2029.1.14.,건강기능식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2512535, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2512536, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2512537",E0000000000000,2026-03-25 17:24:08.538923,,3등급,건강기능식품,20190012295,대구광역시,대구광역시 북구,2026-03-25
3000223742,2026-03-26,금속성이물,1,강황분말,고형차,천지가약초,20140042600,인천광역시 보건환경연구원 식약연구부 식품분석과,서울특별시,강황분말,금속성 이물 기준 규격 부적합,천지가약초,서울특별시 동대문구,,,"1kg, 250g",데이터없음,"홈페이지 회수 공지 후 유통재고량, 소비자 보관물량 회수",2028-01-25,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2514501, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2514784",C0309010300000,2026-03-27 13:41:26.480857,20160042150124,3등급,고형차,20140042600,서울특별시,서울특별시 동대문구,2026-03-27
3000223746,2026-03-26,디페노코나졸,1,냉동리치,리치,신정푸드(주),20000320226,,경기도,냉동리치,잔류농약 기준 초과,신정푸드(주),경기도 파주시,,8809237783074,1kg,포장일자: 2025.7.12,거래처 통한 수거,포장일로부터 36개월까지,농산물,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2514021, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2514022",A0500501000000,2026-03-27 10:14:34.051988,,2등급,리치,20000320226,경기도,경기도 파주시,2026-03-27
3000223758,2026-03-27,디페노코나졸,1,냉동 패션후르츠,패션프루트,(주)지안,20140333104,,경기도,냉동 패션후르츠,잔류농약 기준 초과,(주)지안,경기도 남양주시,,8809303620302,1kg,포장일자: 2025.7.20,거래처 통한 수거,포장일로부터 3년까지,농산물,http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2514484,A0500501100000,2026-03-27 18:12:32.713913,,2등급,패션프루트,20140333104,경기도,경기도 남양주시,2026-03-27
3000223980,2026-03-30,금속성이물,1,강황분말,기타가공품,바라크월드팜,20140205357,인천광역시 보건환경연구원 식약연구부 식품분석과,경기도,강황분말,금속성이물 기준 규격 부적합,바라크월드팜,경기도 김포시,,8809432235422,350g,2026.1.22.,방문 및 택배회수,2028-01-21,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2515872, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2515875, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2515939",C0323020000000,2026-03-31 11:05:17.290141,2007035567290,3등급,기타가공품,20140205357,경기도,경기도 김포시,2026-03-31
3000223991,2026-03-30,금속성이물,1,강황가루,고형차,헬로우 그린(hello green),20190042380,인천광역시 보건환경연구원 식약연구부 식품분석과,서울특별시,강황가루,금속성이물 기준 규격 부적합,헬로우 그린(hello green),서울특별시 동대문구,,,500g,2026-01-22,제품 구매 고객에게 별도 연락 후 동일 제조일자 제품 식별하여 전량 회수 진행. 회수 제품은 별도 보관 후 폐기 예정,제조일로부터 24개월,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2515790, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2515791",C0309010300000,2026-03-31 18:08:20.454444,201800421911,3등급,고형차,20190042380,서울특별시,서울특별시 동대문구,2026-03-31
3000224010,2026-03-30,금속성이물,1,보리새싹가루,기타가공품,헬로우 그린(hello green),20190042380,인천광역시 보건환경연구원 식약연구부 식품분석과,서울특별시,보리새싹가루,금속성 이물 기준 규격 부적합,헬로우 그린(hello green),서울특별시 동대문구,,,500g,2025-05-12,제품 구매 고객에게 별도 연락 후 동일 제조일자 제품 식별하여 전량 회수 진행. 회수 제품은 별도 보관 후 폐기 예정,제조일로부터 24개월,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2515815, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2515816",C0323020000000,2026-03-31 18:09:06.239905,20060042813491,3등급,기타가공품,20190042380,서울특별시,서울특별시 동대문구,2026-03-31
3000224022,2026-03-30,금속성이물,1,노니분말,고형차,주식회사 디딤푸드,20200042553,인천광역시 보건환경연구원 식약연구부 식품분석과,서울특별시,노니분말,금속성이물 기준 규격 부적합,주식회사 디딤푸드,서울특별시 동대문구,,,300g,데이터없음,직접 회수 및 유선통화 후 택배 회수,2028-02-22,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2515982, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2515984",C0309010300000,2026-03-31 18:10:27.192898,20160042150114,3등급,고형차,20200042553,서울특별시,서울특별시 동대문구,2026-03-31
3000224031,2026-03-30,금속성이물,1,강황가루,고형차,유앤아이허브,20200290158,인천광역시 보건환경연구원 식약연구부 식품분석과,서울특별시,강황가루,금속성이물 기준 규격 부적합,유앤아이허브,서울특별시 동대문구,,,500g,데이터없음,"홈페이지 회수 공지 후 유통재고량, 소비자 보관물량 회수",2028-01-21,가공식품,http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2516259,C0309010300000,2026-03-31 18:11:35.137467,201800421911,3등급,고형차,20200290158,서울특별시,서울특별시 동대문구,2026-03-31
3000224174,2026-04-01,금속성이물,1,계피분말,고형차,농업회사법인주식회사두손애약초,20160555012,인천광역시 보건환경연구원 식약연구부 식품분석과,경상북도,계피분말,금속성이물 기준 규격 부적합,농업회사법인주식회사두손애약초,경상북도 영천시,,8809340568667,200g,데이터없음,판매처 등 연락 후 소분업소로 택배 반품 조치,2027-12-09,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2519406, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2519407, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2519408",C0309010300000,2026-04-02 14:45:34.424279,20180042191510,3등급,고형차,20160555012,경상북도,경상북도 영천시,2026-04-02
3000224242,2026-04-02,디페노코나졸,1,냉동리치,리치,신정푸드(주),20000320226,부산청 유해물질분석과,경기도,냉동리치,잔류농약 기준 초과,신정푸드(주),경기도 파주시,,8809237783074,1kg,포장일자: 2026.2.4,출고금지,포장일로부터 36개월까지,농산물,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2520199, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2520200",A0500501000000,2026-04-03 14:57:27.339621,,2등급,리치,20000320226,경기도,경기도 파주시,2026-04-03
3000224248,2026-04-02,디페노코나졸,1,냉동리치,리치,신정푸드(주),20000320226,부산청 유해물질분석과,경기도,냉동리치,잔류농약 기준 초과,신정푸드(주),경기도 파주시,,8809237783074,1kg,포장일자: 2025.8.6,출고금지,포장일로부터 36개월까지,농산물,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2520212, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2520213",A0500501000000,2026-04-03 14:57:33.578564,,2등급,리치,20000320226,경기도,경기도 파주시,2026-04-03
3000224680,2026-04-13,카벤다짐 | 티아메톡삼,2,청양 구기자,구기자건조,토종마을,20160333083,,경기도,청양 구기자,잔류농약 기준 초과,토종마을,경기도 남양주시,,1100001247554,300g,2026.03.05.,온라인 판매 제품 반품 회수 및 미출고 창고재고 제품 회수,2028.03.04.,농산물,,A0500401304000,2026-04-15 13:24:23.553913,,2등급,구기자건조,20160333083,경기도,경기도 남양주시,2026-04-15
