LCNS_NO,BSSH_NM,INDUTY_CD_NM,PRSDNT_NM,CLSBIZ_DVS_CD_NM,CLSBIZ_DT,SITE_ADDR,HACCP_APPN_DT,HACCP_APPN_NO,ASGN_CANCL_DT,CRTFC_ENDDT,CRTFC_RETN_DT,sido,sigungu,haccp_designation_date
20260226263,고고축산,식육포장처리업,,정상,,대구광역시 서구,20260911,2026-4-0209,,20290910,,대구광역시,대구광역시 서구,2026-09-11
20060548973,오케이(OK)유통,식육포장처리업,,정상,,경상북도 구미시,20260911,2026-4-0208,,20290910,,경상북도,경상북도 구미시,2026-09-11
20210267053,(주)더올푸드인더스트리,축산물가공업-식육가공업,,정상,,경기도 남양주시,20260911,2026-1-0458,,20290910,,경기도,경기도 남양주시,2026-09-11
20260375054,제이에스미트,축산물가공업-식육가공업,,정상,,경기도 하남시,20260910,2026-3-0572,,20290909,,경기도,경기도 하남시,2026-09-10
20260214075,더블유씨피 푸드컴퍼니,축산물판매업-식육판매업,,정상,,부산광역시 기장군,20260910,2026-2-0361,,20290909,,부산광역시,부산광역시 기장군,2026-09-10
20260214069,더블유씨피 푸드컴퍼니,식육포장처리업,,정상,,부산광역시 기장군,20260910,2026-2-0360,,20290909,,부산광역시,부산광역시 기장군,2026-09-10
20240542655,주식회사 능동미나리 센트럴키친,식육포장처리업,,정상,,경기도 파주시,20260910,2026-1-0452,,20290909,,경기도,경기도 파주시,2026-09-10
20250877058,주식회사 제이엠미트,식육포장처리업,,정상,,경상북도 성주군,20260909,2026-4-0207,,20290908,,경상북도,경상북도 성주군,2026-09-09
20140233664,농업회사법인 주식회사 유진푸드,식육포장처리업,,정상,,대전광역시 중구,20260908,2026-6-0409,,20290907,,대전광역시,대전광역시 중구,2026-09-08
20230906131,주식회사 두원식품,식육포장처리업,,정상,,제주특별자치도 제주시,20260908,2026-5-0330,,20290907,,제주특별자치도,제주특별자치도 제주시,2026-09-08
20060188223,신천농원,식육포장처리업,,정상,,대구광역시 달성군,20260908,2026-4-0204,,20290907,,대구광역시,대구광역시 달성군,2026-09-08
20260261010,(주)푸짐,축산물가공업-식육가공업,,정상,,인천광역시 부평구,20260908,2026-3-0566,,20290907,,인천광역시,인천광역시 부평구,2026-09-08
20260375020,농업회사법인 양계장청년 주식회사,축산물가공업-알가공업,,정상,,경기도 안성시,20260908,2026-3-0565,,20290907,,경기도,경기도 안성시,2026-09-08
20260054136,주식회사 새벽우,식육포장처리업,,정상,,서울특별시 성동구,20260908,2026-1-0446,,20290907,,서울특별시,서울특별시 성동구,2026-09-08
20240569140,농업회사법인 주식회사 프레시원,식육포장처리업,,정상,,경기도 광주시,20260907,2026-3-0563,,20290906,,경기도,경기도 광주시,2026-09-07
20260291665,주식회사 프레스트,식육포장처리업,,정상,,인천광역시 검단구,20260907,2026-3-0559,,20290906,,인천광역시,인천광역시 검단구,2026-09-07
20160380385,델리퀸(춘천점),식육포장처리업,,정상,,강원특별자치도 춘천시,20260904,2026-1-0442,,20290903,,강원특별자치도,강원특별자치도 춘천시,2026-09-04
20170168511,성경고기나라,식육포장처리업,,정상,,대구광역시 북구,20260903,2026-4-0198,,20290902,,대구광역시,대구광역시 북구,2026-09-03
20260363320,이음푸드,축산물판매업-식육판매업,,정상,,울산광역시 북구,20260903,2026-2-0350,,20290902,,울산광역시,울산광역시 북구,2026-09-03
