PRDTNM,BSSHNM,MNFDT,DISTBTMLMT,ADDR,INSTT_NM,REGSTR_TELNO,BRCDNO,FRMLCUNIT,TEST_ITMNM,STDR_STND,TESTANALS_RSLT,CRET_DTM,RTRVLDSUSE_SEQ,PRDLST_REPORT_NO,LCNS_NO,REPORTR_TELNO,PRDLST_CD_NM,sido,sigungu,record_date
부추(L23),전*복,20260309,,울산광역시 울주군,울산광역시 보건환경연구원 보건연구부 농수산물검사소,,21000309959510025009,,프로사이미돈,5.0 mg/kg 이하,20.2 mg/kg,2026.03.11,3000222960,,,,부추,울산광역시,울산광역시 울주군,2026-03-11
시금치(26RF016),고*숙,20260312,,경상북도 상주시,경상북도 보건환경연구원 북부지원 안동농수산물검사소,,2234840028001,,아이소프로티올레인,0.01 이하,0.10,2026.03.16,3000223190,,,,시금치,경상북도,경상북도 상주시,2026-03-16
시금치(26RF016),고*숙,20260312,,경상북도 상주시,경상북도 보건환경연구원 북부지원 안동농수산물검사소,,2234840028001,,터부포스,0.05 이하,0.22,2026.03.16,3000223190,,,,시금치,경상북도,경상북도 상주시,2026-03-16
시금치,심*자,20260316,,경기도 이천시,서울특별시 보건환경연구원 강남농수산물검사소,,,,터부포스,0.05 mg/kg 이하,0.11 mg/kg,2026.03.16,3000223234,,,,시금치,경기도,경기도 이천시,2026-03-16
깻잎,손*순,데이터없음,2026.03.16.(수거일),경상남도 밀양시,서울특별시 보건환경연구원 강남농수산물검사소,,,,에트리디아졸,0.1 mg/kg 이하,0.7,2026.03.16,3000223236,,,,들깻잎,경상남도,경상남도 밀양시,2026-03-16
아욱,서*숙,20260316,,경기도 여주시,서울특별시 보건환경연구원 강남농수산물검사소,,,,터부포스,0.01 mg/kg 이하,0.11 mg/kg,2026.03.16,3000223243,,,,아욱,경기도,경기도 여주시,2026-03-16
부추,정*호,20260316,,경상남도 진주시,대전광역시 보건환경연구원 식의약연구부,,,,터부포스,0.05 mg/kg,1.01 mg/kg,2026.03.17,3000223257,,,,부추,경상남도,경상남도 진주시,2026-03-17
고수,김*기,20260317,,경기도 안성시,서울특별시 보건환경연구원 강남농수산물검사소,,,,파클로부트라졸,0.01 mg/kg 이하,0.54 mg/kg,2026.03.17,3000223285,,,,고수(잎),경기도,경기도 안성시,2026-03-17
고수,김*남,데이터없음,2026.03.17.(수거일),경기도 고양시,서울특별시 보건환경연구원 강남농수산물검사소,,,,메타벤즈티아주론,0.01 mg/kg 이하,0.61 mg/kg,2026.03.17,3000223287,,,,고수(잎),경기도,경기도 고양시,2026-03-17
머위,윤*중,20260305,2026.03.05,충남 논산시,인천광역시 보건환경연구원 식약연구부,,,,클로르페나피르,5.0 mg/kg 이하,6.4 mg/kg,2026.03.17,3000223294,,,,머위,충남,충남 논산시,2026-03-17
깻잎,민*희,데이터없음,2026.03.18.(수거일),경남,서울특별시 보건환경연구원 강남농수산물검사소,,,,디클로르보스,0.7 mg/kg 이하,1.0 mg/kg,2026.03.18,3000223315,,,,들깻잎,경남,경남,2026-03-18
미나리4,이*세,2026-03-11 00:00:00.0,,대구광역 달성군,대구광역시 보건환경연구원 식의약연구부,,,,터부포스,0.01 mg/kg 이하,0.22 mg/kg,2026.03.19,3000223331,,,,미나리,대구광역,대구광역 달성군,2026-03-19
(업무협조-42)돌나물,최*호,20260316,2026.03.16,경기도 성남시,전남광주통합특별시 광주보건환경연구원 식품의약품연구부 서부농수산물검사소,,,,프로사이미돈,0.2 이하,1.6186888324430426,2026.03.19,3000223333,,,,돌나물,경기도,경기도 성남시,2026-03-19
시금치,박*오,20260319,,경기 김포시,,,,,터부포스,0.05 mg/kg,0.20 mg/kg,2026.03.20,3000223349,,,,시금치,경기,경기 김포시,2026-03-20
시금치,이*성,20260319,,경상남도 김해시,부산광역시 보건환경연구원,,,박스,포레이트,0.01 mg/kg,2.07 mg/kg,2026.03.20,3000223355,,,,시금치,경상남도,경상남도 김해시,2026-03-20
깐쪽파,임*진,20260318,,충청남도 금산군,경기도 경기도보건환경연구원,,,,터부포스,0.09 mg/kg,0.38 mg/kg,2026.03.20,3000223368,,,,파,충청남도,충청남도 금산군,2026-03-20
깐쪽파,임*진,20260318,,충청남도 금산군,경기도 경기도보건환경연구원,,,,디메토에이트,0.6 mg/kg,8.3 mg/kg,2026.03.20,3000223368,,,,파,충청남도,충청남도 금산군,2026-03-20
깐쪽파,임*진,20260318,,충청남도 금산군,경기도 경기도보건환경연구원,,,,오메토에이트,0.3 mg/kg,0.6 mg/kg,2026.03.20,3000223368,,,,파,충청남도,충청남도 금산군,2026-03-20
취나물,전*식,20260317,,전남광주통합특별시 순천시,전남광주통합특별시 전남보건환경연구원 동부지원 농산물검사소,,,박스,에토프로포스,0.05 이하,0.9381,2026.03.20,3000223388,,,,취나물,전남광주통합특별시,전남광주통합특별시 순천시,2026-03-20
브로콜리,문*범,20260316,,제주특별자치도 서귀포시,전남광주통합특별시 광주보건환경연구원 식품의약품연구부 각화농산물검사소,,,,피리벤카브,0.01 mg/kg 이하(PLS 기준),0.16 mg/kg,2026.03.20,3000223396,,,,브로콜리,제주특별자치도,제주특별자치도 서귀포시,2026-03-20
치커리,이*리,20260320,,부산광역시 강서구,부산광역시 보건환경연구원,,,박스,카벤다짐,0.01 mg/kg,1.18 mg/kg,2026.03.21,3000223413,,,,치커리(잎),부산광역시,부산광역시 강서구,2026-03-21
쪽파,김*식,20260317,,전북특별자치도 완주군,전북특별자치도 보건환경연구원,,,,디메토에이트,0.6 mg/kg 이하,3.2 mg/kg,2026.03.23,3000223421,,,,파,전북특별자치도,전북특별자치도 완주군,2026-03-23
근대,박*규,20260316,,충북 증평군,충청북도 보건환경연구원 보건연구부 청주농산물검사소,,,,플루벤디아마이드,0.01 이하,0.644,2026.03.23,3000223428,,,,근대,충북,충북 증평군,2026-03-23
깻잎,석*주,데이터없음,2026.03.23.(수거일),경남 밀양시,서울특별시 보건환경연구원 강남농수산물검사소,,,,에토프로포스,0.05 mg/kg 이하,0.58 mg/kg,2026.03.23,3000223470,,,,들깻잎,경남,경남 밀양시,2026-03-23
새싹귀리분말,(주)웰빙,데이터없음,2027.10.19,경상북도 김천시,인천광역시 보건환경연구원 식약연구부 식품분석과,,,500g,금속성이물,10.0미만 mg/kg,44.38 mg/kg,2026.03.23,3000223477,2010051202346,20180545230,,기타가공품,경상북도,경상북도 김천시,2026-03-23
노니분말,주식회사 생생드림,데이터없음,2028.02.26,서울특별시 동대문구,인천광역시 보건환경연구원 식약연구부 식품분석과,,,300g,금속성이물,10.0미만 mg/kg,39.84 mg/kg,2026.03.23,3000223482,20150042798136,20140042362,,기타가공품,서울특별시,서울특별시 동대문구,2026-03-23
핑거루트분말,주식회사 생생드림,20260227,2028.02.26,서울특별시 동대문구,인천광역시 보건환경연구원 식약연구부 식품분석과,,,,금속성이물,10.0미만 mg/kg,100.59 mg/kg,2026.03.23,3000223485,201500427982,20180042767,,기타가공품,서울특별시,서울특별시 동대문구,2026-03-23
횡성한우육회용,횡성청정한우 횡성지점,20260317,2026.03.23,강원특별자치도 횡성군,강원특별자치도 동물위생시험소 축산식품검사과,,,,황색포도상구균,"n=0, c=0, m=0/25g","음성, 양성, 음성, 양성, 음성",2026.03.23,3000223493,,20190413113,,소고기,강원특별자치도,강원특별자치도 횡성군,2026-03-23
강황분말,주식회사 생생드림,20260227,2028.02.26,서울특별시 동대문구,인천광역시 보건환경연구원 식약연구부 식품분석과,,,1kg,금속성이물,10.0미만 mg/kg,70.19  mg/kg,2026.03.23,3000223496,2015004279818,20180042767,,고형차,서울특별시,서울특별시 동대문구,2026-03-23
미나리,금*환,20260316,,경상북도 청도군,대구광역시 보건환경연구원 식의약연구부,,,,프로사이미돈,0.15 이하,1.21,2026.03.24,3000223593,,,,미나리,경상북도,경상북도 청도군,2026-03-24
열무,이*심,2026-03-16 00:00:00.0,,경기도 포천시,대구광역시 보건환경연구원 식의약연구부,,,,터부포스,0.05 이하,0.12,2026.03.24,3000223624,,,,무(잎),경기도,경기도 포천시,2026-03-24
쌈당귀,김*문,20260320,,전남광주통합특별시 광산구,전남광주통합특별시 광주보건환경연구원 식품의약품연구부 각화농산물검사소,,,,클로르페나피르,0.7 mg/kg 이하,1.2 mg/kg,2026.03.24,3000223632,,,,당귀(잎),전남광주통합특별시,전남광주통합특별시 광산구,2026-03-24
부추,조*성,20260324,2026.03.24(수거일자),경상남도 하동군,서울특별시 보건환경연구원 강남농수산물검사소,,,,피리벤카브,0.7 mg/kg 이하,4.9 mg/kg,2026.03.24,3000223635,,,,부추,경상남도,경상남도 하동군,2026-03-24
부추,조*성,20260324,2026.03.24(수거일자),경상남도 하동군,서울특별시 보건환경연구원 강남농수산물검사소,,,,디페노코나졸,0.5 mg/kg 이하,2.7 mg/kg,2026.03.24,3000223635,,,,부추,경상남도,경상남도 하동군,2026-03-24
부추,나*화,20260321,,전남광주통합특별시 나주시,전남광주통합특별시 광주보건환경연구원 식품의약품연구부 각화농산물검사소,,,,메펜트리플루코나졸,2.0 mg/kg 이하,3.0 mg/kg,2026.03.24,3000223645,,,,부추,전남광주통합특별시,전남광주통합특별시 나주시,2026-03-24
육회(우둔)고기,(주)채선당 식품제조육가공사업본부,20260318,2027.07.01,경기도 남양주시,경기도 경기도북부동물위생시험소,,00801000410172,,황색포도상구균,"식중독균 기준: 불검출(n=5, c=0, m=0/25g)","양성,양성,양성,양성,양성",2026.03.25,3000223674,2012033330422,20120333304,,포장육,경기도,경기도 남양주시,2026-03-25
