PRCSCITYPOINT_BSSHNM,INDUTY_CD_NM,LCNS_NO,DSPS_DCSNDT,DSPS_BGNDT,DSPS_ENDDT,DSPS_TYPECD_NM,VILTCN,ADDR,TELNO,PRSDNT_NM,DSPSCN,LAWORD_CD_NM,PUBLIC_DT,LAST_UPDT_DTM,DSPS_INSTTCD_NM,DSPSDTLS_SEQ,sido,sigungu,disposition_decision_date,haccp_record_count,haccp_certification_count,product_type_count,company_name,industry,haccp_sido,haccp_sigungu
이뮨베이커리 카페,식품제조가공업,20210386454,20241010,20241010,-,영업허가·등록취소,(20240821)영업시설의 전부를 철거한 경우,경기도 화성시 동탄구,,,영업허가ㆍ등록취소,식품위생법 제36조(시설기준),2026-10-09 00:00:00.0,2026-03-13 15:40:29.042,경기도 화성시,4624927,경기도,경기도 화성시,2024-10-10,1,1,1,이뮨베이커리 카페,식품제조가공업,경기도,경기도 화성시
주식회사 소풍,식품제조가공업,20140461458,20241016,20241017,-,영업소폐쇄,(20240610)영업시설의 전부를 철거한 경우,충청남도 아산시,,,영업소폐쇄,식품위생법 제75조(허가취소 등) 3항,2026-10-15 00:00:00.0,2024-10-18 11:44:51.308,충청남도 아산시,4633060,충청남도,충청남도 아산시,2024-10-16,1,1,1,주식회사 소풍,식품제조가공업,충청남도,충청남도 아산시
(주)한일식품,식품제조가공업,20090445027,20241205,20241205,-,영업허가·등록취소,(20241022)영업시설물 전부 멸실,충청북도 음성군,,,영업허가ㆍ등록취소,식품위생법 제36조(시설기준),2026-12-04 00:00:00.0,2025-09-18 20:40:25.071,충청북도 음성군,4685656,충청북도,충청북도 음성군,2024-12-05,3,3,2,(주)한일식품,식품제조가공업,충청북도,충청북도 음성군
주식회사 다올,식품제조가공업,20220503185,20241219,20250103,-,영업허가·등록취소,(20240228)영업시설 전부를 철거,경기도 김포시,,,영업등록취소(25.1.3),식품위생법 제36조(시설기준),2026-12-18 00:00:00.0,2024-12-20 18:41:24.205,경기도 김포시,4645364,경기도,경기도 김포시,2024-12-19,1,1,1,주식회사 다올,식품제조가공업,경기도,경기도 김포시
(주)에코네이처,식품제조가공업,20170443021,20241223,20241223,-,영업허가·등록취소,(20240725)시설물 철거 등 미운영 후 변경신고를 하지 아니한 경우,충청북도 진천군,,,영업허가ㆍ등록취소,식품위생법 제37조(영업허가 등),2026-12-22 00:00:00.0,2024-12-31 20:41:15.994,충청북도 진천군,4646835,충청북도,충청북도 진천군,2024-12-23,4,4,4,(주)에코네이처,식품제조가공업,충청북도,충청북도 진천군
농업회사법인(주)그린푸드,식품제조가공업,20220619023,20250115,20250115,-,영업허가·등록취소,(20241022)영업시설물 전부 멸실,충청북도 음성군,,,영업허가ㆍ등록취소,식품위생법 제37조(영업허가 등),2027-01-14 00:00:00.0,2025-01-16 19:41:46.576,충청북도 음성군,4649570,충청북도,충청북도 음성군,2025-01-15,1,1,1,농업회사법인(주)그린푸드,식품제조가공업,충청북도,충청북도 음성군
주식회사 바다원 제2음성공장,식품제조가공업,20050347173,20250115,20250115,-,영업허가·등록취소,(20240930)영업시설물 전부 멸실,충청북도 음성군,,,영업허가ㆍ등록취소,식품위생법 제37조(영업허가 등),2027-01-14 00:00:00.0,2025-01-16 20:41:24.413,충청북도 음성군,4649587,충청북도,충청북도 음성군,2025-01-15,4,2,1,주식회사 청해진수산,식품제조가공업,경기도,경기도 용인시
농업회사법인 주식회사 해마루,식품제조가공업,20180452148,20250115,20250115,-,영업허가·등록취소,(20241022)영업시설물 전부 멸실,충청북도 음성군,,,영업허가ㆍ등록취소,식품위생법 제37조(영업허가 등),2027-01-14 00:00:00.0,2025-01-16 19:41:46.576,충청북도 음성군,4649571,충청북도,충청북도 음성군,2025-01-15,1,1,1,농업회사법인 주식회사 해마루,식품제조가공업,충청북도,충청북도 음성군
주식회사 비에스에프앤씨,식품제조가공업,20190363152,20250204,20250204,-,영업허가·등록취소,"(20230508)병을 일으키는 미생물에 오염되었거나 그러할 염려가 있어 인체의 건강을 해칠 우려가 있는 식품 판매
(성남시 수정구 소재 집단급식소에서 식중독 집단발생 관련하여 식중독 최종 역학조사 결과 추정원인 병원체는 클로스트리듐 퍼프린젠스이며, 상가업체에서 점심으로 제공(판매)된 도시락에서 식중독 원인으로 확정됨)",경기도 용인시 기흥구,,,영업허가ㆍ등록취소,식품위생법 제4조(위해식품등의 판매 등 금지),2027-02-03 00:00:00.0,2025-02-07 20:41:35.382,경기도 용인시,4651828,경기도,경기도 용인시,2025-02-04,1,1,1,주식회사 비에스에프앤씨,식품제조가공업,경기도,경기도 용인시
어업회사법인 주식회사 새롬물산,식품제조가공업,20190077542,20250225,20250225,-,영업허가·등록취소,(20250206)시설물 멸실,서울특별시 강서구,,,영업허가ㆍ등록취소,식품위생법 제36조(시설기준),2027-02-24 00:00:00.0,2025-02-26 16:53:16.133,서울특별시 강서구,4651910,서울특별시,서울특별시 강서구,2025-02-25,2,2,2,어업회사법인 주식회사 새롬물산,식품제조가공업,서울특별시,서울특별시 강서구
