PRDTNM,RTRVLPRVNS,BSSHNM,ADDR,TELNO,BRCDNO,FRMLCUNIT,MNFDT,RTRVLPLANDOC_RTRVLMTHD,DISTBTMLMT,PRDLST_TYPE,IMG_FILE_PATH,PRDLST_CD,CRET_DTM,RTRVLDSUSE_SEQ,PRDLST_REPORT_NO,RTRVL_GRDCD_NM,PRDLST_CD_NM,LCNS_NO,sido,sigungu,record_date
백목이버섯,잔류농약 기준 초과,성민통상 주식회사,경기도 안산시 상록구,,8809460180084,1kg,(포장일자) 2026.4.2,,(소비기한) 포장일로부터 24개월,농산물,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2655741, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2655742",A0700700000000,2026-09-10 18:28:15.879753,3000234234,,2등급,목이버섯,20230023177,경기도,경기도 안산시,2026-09-10
목이버섯,잔류농약 기준 초과,(주)태양무역,서울특별시 구로구,,2001870250005,1kg,(포장일자) 2026.5.26,,(소비기한) 포장일로부터 2년,농산물,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2655804, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2655805",A0700700000000,2026-09-10 18:28:55.691056,3000234237,,2등급,목이버섯,20200005547,서울특별시,서울특별시 구로구,2026-09-10
제주 천혜향 아직도 까서 먹니,세균수 기준 규격 부적합,농업회사법인 (주)제주향,제주특별자치도 서귀포시,,8809429114150,120ml,데이터없음,,(소비기한) 2028-07-15,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2654518, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2654316",C0309030200000,2026-09-09 14:07:10.532364,3000234126,2015063158336,3등급,과.채주스,20150631583,제주특별자치도,제주특별자치도 서귀포시,2026-09-09
콩가루,금속성 이물 기준 규격 부적합,(유)제일식품,전남광주통합특별시 강진군,,,"900g, 500g, 250g",데이터없음,영업자 회수(택배 등),(소비기한) 2027-08-25,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2654186, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2654187",C0315070300000,2026-09-08 17:06:39.020757,3000234063,2024080200129,3등급,두류가공품,20240802001,전남광주통합특별시,전남광주통합특별시 강진군,2026-09-08
목이버섯,잔류농약 기준 초과,(유)태림에스엠,서울특별시 송파구,,8809260234659,1kg,(포장일자) 2026.1.14,소비자반품,(소비기한) 포장일로부터 2년,농산물,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2647933, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2647934",A0700700000000,2026-09-02 16:33:34.057724,3000233730,,2등급,목이버섯,20010114979,서울특별시,서울특별시 송파구,2026-09-02
100% 국산 열여덟곡 미숫가루,대장균 기준 규격 부적합,예천농산물가공협동조합,경상북도 예천군,,8800369130002,500g,데이터없음,,(소비기한) 2027-08-11,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2646315, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2646316",C0315070200000,2026-08-31 18:00:41.754786,3000233598,2022082414176,3등급,곡류가공품,20220824141,경상북도,경상북도 예천군,2026-08-31
윤성순장모님식혜,세균수 기준 규격 부적합,콩그린식품 2공장,경기도 고양시 일산서구,,8809601770600,"430ml, 1050ml",20260819,거래처(유통업소) 별 유선 연락 및 회수명령 즉각 전달,(소비기한) 2026-10-18,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2646836, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2646837, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2646838, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2646839",C0309080100000,2026-08-31 18:02:13.039184,3000233609,202103374671,3등급,혼합음료,20210337467,경기도,경기도 고양시,2026-08-31
자연발효가 수제생강차,세균수 기준 규격 부적합,자연발효家 농업회사법인,전남광주통합특별시 장성군,,,"200ml, 450ml",(제조일자) 2026-08-08,영업자 회수,(소비기한) 제조일로부 6개월,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2645210, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2645199",C0309010200000,2026-08-28 17:54:16.921133,3000233538,201905320454,3등급,액상차,20190532045,전남광주통합특별시,전남광주통합특별시 장성군,2026-08-28
목장애 요거트,대장균군 기준 규격 부적합,청춘목장,전북특별자치도 김제시,,,1000mL,(제조일자) 2026-08-24,직접수거,(소비기한) 2026-09-14,축산물,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2644083, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2644051",C0318040100000,2026-08-28 10:59:01.264335,3000233169,201704760121,3등급,발효유,20170476012,전북특별자치도,전북특별자치도 김제시,2026-08-28
진저라이저 커큐민 진저샷,세균수 기준 규격 부적합,자연농장,경기도 남양주시,,8809689951700,375g(25g*15포),데이터없음,고객반품 안내 및 유통판매업체 보관창고 재고량 판매 중지 후 회수,소비기한(2027-11-08),가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2640382, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2640383",C0309030300000,2026-08-25 13:57:11.073582,3000233015,20170333328467,3등급,과.채음료,20170333328,경기도,경기도 남양주시,2026-08-25
매운제육볶음,대장균군 기준 규격 부적합,뽕의도리 농업회사법인 유한회사,전북특별자치도 부안군,,,100g,(제조일자) 2026-08-05,직접수거,(소비기한) 2027-08-04,축산물,http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2639848,C0316050100000,2026-08-25 10:52:43.168018,3000233012,20120476014844,3등급,양념육,20120476014,전북특별자치도,전북특별자치도 부안군,2026-08-25
깐땅콩,소비기한을 사실과 다르게 표시,주식회사 장수왕,경기도 광주시,,,1000g,데이터없음,직접회수,(소비기한) 2027-10-26,가공식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2639719, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2639731",C0315030200000,2026-08-25 13:58:16.598378,3000233009,,3등급,땅콩 또는 견과류가공품,20210387587,경기도,경기도 광주시,2026-08-25
회화나무,정부수거검사 부적합(소포리코사이드 함량),(주)팜투팜2공장,충청남도 천안시 동남구,,8809176313165,,데이터없음,소비자상담실로 접수된 제품 회수 진행,20270811,건강기능식품,"http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2639714, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2639715, http://coop.foodsafetykorea.go.kr/open/minfo_image.do?fSeq=2639716",E0207100000000,2026-08-21 16:04:01.792006,3000232894,20180003915113,3등급,회화나무열매추출물,20180003915,충청남도,충청남도 천안시,2026-08-21
